specI_cluster	ref-mOTU_v2_ID	kingdom	phylum	class	order	family	genus	mOTU
specI_v3_06832	ref_mOTU_v25_06832	2 Bacteria	1224 Proteobacteria	28221 Deltaproteobacteria	213118 Desulfobacterales	213119 Desulfobacteraceae	2295 Desulfobacterium	2298 Desulfobacterium vacuolatum
specI_v3_02630	ref_mOTU_v25_02630	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	1903414 Morganellaceae	586 Providencia	126385 Providencia alcalifaciens
specI_v3_07594	ref_mOTU_v25_07594	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	815 Bacteroidaceae	816 Bacteroides	1262734 Bacteroides sp. CAG:1060
specI_v3_09070	ref_mOTU_v25_09070	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204455 Rhodobacterales	31989 Rhodobacteraceae	97050 Ruegeria	1685379 Ruegeria marisrubri
specI_v3_06618	ref_mOTU_v25_06618	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135622 Alteromonadales	72275 Alteromonadaceae	89404 Glaciecola	300231 Glaciecola nitratireducens
specI_v3_04027	ref_mOTU_v25_04027	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	2005525 Tannerellaceae	195950 Tannerella	28112 Tannerella forsythia
specI_v3_08321	ref_mOTU_v25_08321	2 Bacteria	1239 Firmicutes	91061 Bacilli	186826 Lactobacillales	186828 Carnobacteriaceae	2747 Carnobacterium	2750 Carnobacterium mobile
specI_v3_10218	ref_mOTU_v25_10218	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	NA Rhizobiales fam. incertae sedis	NA Rhizobiales gen. incertae sedis	1862950 Rhizobiales bacterium NRL2
specI_v3_04315	ref_mOTU_v25_04315	2157 Archaea	28889 Crenarchaeota	183924 Thermoprotei	871006 Acidilobales	871007 Acidilobaceae	105850 Acidilobus	1410574 uncultured Acidilobus sp. CIS
specI_v3_06356	ref_mOTU_v25_06356	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204455 Rhodobacterales	31989 Rhodobacteraceae	265 Paracoccus	65735 Paracoccus alkenifer
specI_v3_07947	ref_mOTU_v25_07947	2 Bacteria	1224 Proteobacteria	29547 Epsilonproteobacteria	213849 Campylobacterales	72293 Helicobacteraceae	209 Helicobacter	215 Helicobacter fennelliae
specI_v3_09577	ref_mOTU_v25_09577	2 Bacteria	1224 Proteobacteria	28221 Deltaproteobacteria	NA Deltaproteobacteria order incertae sedis	NA Deltaproteobacteria fam. incertae sedis	NA Deltaproteobacteria gen. incertae sedis	1797894 Deltaproteobacteria bacterium RIFCSPLOWO2_12_FULL_60_19
specI_v3_10325	ref_mOTU_v25_10325	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	45401 Hyphomicrobiaceae	81 Hyphomicrobium	1892845 Hyphomicrobium sp. CS1GBMeth3
specI_v3_02225	ref_mOTU_v25_02225	2 Bacteria	976 Bacteroidetes	768503 Cytophagia	768507 Cytophagales	89373 Cytophagaceae	120831 Dyadobacter	1895756 Dyadobacter sp. 50-39
specI_v3_07052	ref_mOTU_v25_07052	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	1643684 Nakamurellales	85031 Nakamurellaceae	53460 Nakamurella	459515 Nakamurella lactea
specI_v3_10599	ref_mOTU_v25_10599	2 Bacteria	67812 Candidatus Omnitrophica	NA Candidatus Omnitrophica class incertae sedis	NA Candidatus Omnitrophica order incertae sedis	NA Candidatus Omnitrophica fam. incertae sedis	NA Candidatus Omnitrophica gen. incertae sedis	1956173 Candidatus Omnitrophica bacterium 4484_171
specI_v3_10079	ref_mOTU_v25_10079	2 Bacteria	1224 Proteobacteria	28221 Deltaproteobacteria	69541 Desulfuromonadales	213421 Desulfuromonadaceae	890 Desulfuromonas	1823759 Desulfuromonas sp. DDH964
specI_v3_09771	ref_mOTU_v25_09771	2 Bacteria	203682 Planctomycetes	NA Planctomycetes class incertae sedis	NA Planctomycetes order incertae sedis	NA Planctomycetes fam. incertae sedis	NA Planctomycetes gen. incertae sedis	1801957 Planctomycetes bacterium GWF2_41_51
specI_v3_11979	ref_mOTU_v25_11979	2 Bacteria	1224 Proteobacteria	1553900 Oligoflexia	2024979 Bacteriovoracales	1652132 Halobacteriovoraceae	1652133 Halobacteriovorax	97084 Halobacteriovorax marinus
specI_v3_11763	ref_mOTU_v25_11763	2 Bacteria	1239 Firmicutes	909932 Negativicutes	909929 Selenomonadales	1843491 Selenomonadaceae	970 Selenomonas	135082 Selenomonas infelix
specI_v3_07694	ref_mOTU_v25_07694	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	1262921 Prevotella sp. CAG:1185
specI_v3_03700	ref_mOTU_v25_03700	2 Bacteria	1239 Firmicutes	909932 Negativicutes	1843488 Acidaminococcales	909930 Acidaminococcaceae	33024 Phascolarctobacterium	626940 Phascolarctobacterium succinatutens
specI_v3_03108	ref_mOTU_v25_03108	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85007 Corynebacteriales	85025 Nocardiaceae	1817 Nocardia	257281 Nocardia concava
specI_v3_08677	ref_mOTU_v25_08677	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	59732 Chryseobacterium	1608584 Chryseobacterium sp. FF12
specI_v3_10351	ref_mOTU_v25_10351	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	45401 Hyphomicrobiaceae	46913 Devosia	1895754 Devosia sp. 67-54
specI_v3_01385	ref_mOTU_v25_01385	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85008 Micromonosporales	28056 Micromonosporaceae	168694 Salinispora	351187 Salinispora pacifica
specI_v3_07422	ref_mOTU_v25_07422	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186823 Alicyclobacillaceae	29330 Alicyclobacillus	192387 Alicyclobacillus sendaiensis
specI_v3_10281	ref_mOTU_v25_10281	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204457 Sphingomonadales	41297 Sphingomonadaceae	13687 Sphingomonas	1881068 Sphingomonas sp. OV641
specI_v3_00682	ref_mOTU_v25_00682	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85011 Streptomycetales	2062 Streptomycetaceae	1883 Streptomyces	1968 Streptomyces cellulosae
specI_v3_07625	ref_mOTU_v25_07625	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	1262804 Clostridium sp. CAG:417
specI_v3_04829	ref_mOTU_v25_04829	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85009 Propionibacteriales	31957 Propionibacteriaceae	72763 Tessaracoccus	1610493 Tessaracoccus flavus
specI_v3_01690	ref_mOTU_v25_01690	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	41294 Bradyrhizobiaceae	374 Bradyrhizobium	1437360 Bradyrhizobium erythrophlei
specI_v3_01048	ref_mOTU_v25_01048	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	82115 Rhizobiaceae	379 Rhizobium	1132836 Rhizobium sp. CCGE 510
specI_v3_06720	ref_mOTU_v25_06720	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85009 Propionibacteriales	31957 Propionibacteriaceae	396388 Aestuariimicrobium	396389 Aestuariimicrobium kwangyangense
specI_v3_08844	ref_mOTU_v25_08844	2 Bacteria	1239 Firmicutes	91061 Bacilli	186826 Lactobacillales	81852 Enterococcaceae	1350 Enterococcus	1640685 Enterococcus massiliensis
specI_v3_03662	ref_mOTU_v25_03662	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186803 Lachnospiraceae	572511 Blautia	765821 uncultured Blautia sp.
specI_v3_09813	ref_mOTU_v25_09813	2 Bacteria	1817917 Candidatus Sungbacteria	NA Candidatus Sungbacteria class incertae sedis	NA Candidatus Sungbacteria order incertae sedis	NA Candidatus Sungbacteria fam. incertae sedis	NA Candidatus Sungbacteria gen. incertae sedis	1802270 Candidatus Sungbacteria bacterium RIFCSPHIGHO2_02_FULL_47_11
specI_v3_10033	ref_mOTU_v25_10033	2157 Archaea	28890 Euryarchaeota	NA Euryarchaeota class incertae sedis	NA Euryarchaeota order incertae sedis	NA Euryarchaeota fam. incertae sedis	NA Euryarchaeota gen. incertae sedis	1811651 Marine group II euryarchaeote REDSEA-S11_B3N4
specI_v3_06892	ref_mOTU_v25_06892	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186817 Bacillaceae	74385 Gracilibacillus	393087 Gracilibacillus lacisalsi
specI_v3_06984	ref_mOTU_v25_06984	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135619 Oceanospirillales	135620 Oceanospirillaceae	196079 Oceanobacter	64972 Oceanobacter kriegii
specI_v3_10965	ref_mOTU_v25_10965	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186818 Planococcaceae	33976 Caryophanon	33978 Caryophanon tenue
specI_v3_10583	ref_mOTU_v25_10583	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204455 Rhodobacterales	31989 Rhodobacteraceae	265 Paracoccus	1945662 Paracoccus contaminans
specI_v3_07948	ref_mOTU_v25_07948	2 Bacteria	40117 Nitrospirae	203693 Nitrospira	189778 Nitrospirales	189779 Nitrospiraceae	1234 Nitrospira	1325564 Nitrospira japonica
specI_v3_10213	ref_mOTU_v25_10213	2 Bacteria	976 Bacteroidetes	NA Bacteroidetes class incertae sedis	NA Bacteroidetes order incertae sedis	NA Bacteroidetes fam. incertae sedis	NA Bacteroidetes gen. incertae sedis	1860095 Bacteroidetes bacterium MedPE-SWsnd-G2
specI_v3_08854	ref_mOTU_v25_08854	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204457 Sphingomonadales	41297 Sphingomonadaceae	13687 Sphingomonas	1642949 Sphingomonas sp. Ag1
specI_v3_11370	ref_mOTU_v25_11370	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186803 Lachnospiraceae	841 Roseburia	512314 uncultured Roseburia sp.
specI_v3_02252	ref_mOTU_v25_02252	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	237 Flavobacterium	983 Flavobacterium flevense
specI_v3_01757	ref_mOTU_v25_01757	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	1903410 Pectobacteriaceae	204037 Dickeya	204039 Dickeya dianthicola
specI_v3_08021	ref_mOTU_v25_08021	2 Bacteria	976 Bacteroidetes	1853228 Chitinophagia	1853229 Chitinophagales	563835 Chitinophagaceae	1004301 Flavihumibacter	1349421 Flavihumibacter solisilvae
specI_v3_08586	ref_mOTU_v25_08586	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204455 Rhodobacterales	31989 Rhodobacteraceae	478070 Labrenzia	1561204 Labrenzia sp. OB1
specI_v3_01503	ref_mOTU_v25_01503	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	82115 Rhizobiaceae	28105 Sinorhizobium	380 Sinorhizobium fredii
specI_v3_09962	ref_mOTU_v25_09962	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	1805305 Parcubacteria group bacterium CG1_02_40_25
specI_v3_00179	ref_mOTU_v25_00179	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	72274 Pseudomonadales	135621 Pseudomonadaceae	286 Pseudomonas	157783 Pseudomonas cremoricolorata
specI_v3_01136	ref_mOTU_v25_01136	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	119045 Methylobacteriaceae	407 Methylobacterium	1502748 Methylobacterium sp. UNC378MF
specI_v3_08938	ref_mOTU_v25_08938	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	362534 Kordiimonadales	1331809 Kordiimonadaceae	288021 Kordiimonas	1662421 Kordiimonas lipolytica
specI_v3_09097	ref_mOTU_v25_09097	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204457 Sphingomonadales	335929 Erythrobacteraceae	1295327 Croceicoccus	1703339 Croceicoccus mobilis
specI_v3_05071	ref_mOTU_v25_05071	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	815 Bacteroidaceae	816 Bacteroides	1841856 Bacteroides mediterraneensis
specI_v3_02558	ref_mOTU_v25_02558	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	32003 Nitrosomonadales	206379 Nitrosomonadaceae	914 Nitrosomonas	44575 Nitrosomonas cryotolerans
specI_v3_08386	ref_mOTU_v25_08386	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186817 Bacillaceae	175304 Lentibacillus	1472767 Lentibacillus amyloliquefaciens
specI_v3_03851	ref_mOTU_v25_03851	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135614 Xanthomonadales	32033 Xanthomonadaceae	68 Lysobacter	69 Lysobacter enzymogenes
