study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
PRJEB32631	ERP115334	SAMEA5616602	ERS3420784	ERX3428306	ERR3404654	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3404654/ERR3404654_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3404654/ERR3404654_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404654/14794#12.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404654/14794#12.bam.bai		
PRJEB32631	ERP115334	SAMEA5616603	ERS3420785	ERX3428307	ERR3404655	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/005/ERR3404655/ERR3404655_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/005/ERR3404655/ERR3404655_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404655/14794#13.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404655/14794#13.bam.bai		
PRJEB32631	ERP115334	SAMEA5616592	ERS3420774	ERX3428311	ERR3404659	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3404659/ERR3404659_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3404659/ERR3404659_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404659/14794#17.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404659/14794#17.bam.bai		
PRJEB32631	ERP115334	SAMEA5616599	ERS3420781	ERX3428313	ERR3404661	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/001/ERR3404661/ERR3404661_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/001/ERR3404661/ERR3404661_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404661/14795#54.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404661/14795#54.bam.bai		
PRJEB32631	ERP115334	SAMEA5616594	ERS3420776	ERX3428314	ERR3404662	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3404662/ERR3404662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3404662/ERR3404662_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404662/14795#55.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404662/14795#55.bam.bai		
PRJEB32631	ERP115334	SAMEA5616564	ERS3420746	ERX3428315	ERR3404663	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3404663/ERR3404663_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3404663/ERR3404663_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404663/14795#56.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404663/14795#56.bam.bai		
PRJEB32631	ERP115334	SAMEA5616574	ERS3420756	ERX3428318	ERR3404666	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3404666/ERR3404666_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3404666/ERR3404666_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404666/14795#59.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404666/14795#59.bam.bai		
PRJEB32631	ERP115334	SAMEA5616580	ERS3420762	ERX3428319	ERR3404667	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3404667/ERR3404667_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3404667/ERR3404667_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404667/14795#60.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404667/14795#60.bam.bai		
PRJEB32631	ERP115334	SAMEA5616582	ERS3420764	ERX3428321	ERR3404669	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3404669/ERR3404669_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3404669/ERR3404669_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404669/14795#62.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404669/14795#62.bam.bai		
PRJEB32631	ERP115334	SAMEA5616579	ERS3420761	ERX3428326	ERR3404674	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3404674/ERR3404674_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3404674/ERR3404674_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404674/14801#42.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404674/14801#42.bam.bai		
PRJEB32631	ERP115334	SAMEA5616615	ERS3420797	ERX3428328	ERR3404676	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3404676/ERR3404676_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3404676/ERR3404676_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404676/14801#44.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404676/14801#44.bam.bai		
PRJEB32631	ERP115334	SAMEA5616617	ERS3420799	ERX3428330	ERR3404678	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/008/ERR3404678/ERR3404678_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/008/ERR3404678/ERR3404678_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404678/14801#46.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404678/14801#46.bam.bai		
PRJEB32631	ERP115334	SAMEA5616585	ERS3420767	ERX3428334	ERR3404682	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3404682/ERR3404682_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3404682/ERR3404682_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404682/14801#50.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404682/14801#50.bam.bai		
PRJEB32631	ERP115334	SAMEA5618304	ERS3422392	ERX3428352	ERR3404700	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/000/ERR3404700/ERR3404700_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/000/ERR3404700/ERR3404700_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404700/18403#15.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404700/18403#15.bam.bai		
PRJEB32631	ERP115334	SAMEA5618307	ERS3422395	ERX3428354	ERR3404702	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3404702/ERR3404702_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3404702/ERR3404702_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404702/18403#17.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404702/18403#17.bam.bai		
PRJEB32631	ERP115334	SAMEA5616612	ERS3420794	ERX3428359	ERR3404707	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3404707/ERR3404707_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3404707/ERR3404707_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404707/18403#22.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404707/18403#22.bam.bai		
PRJEB32631	ERP115334	SAMEA5616613	ERS3420795	ERX3428360	ERR3404708	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/008/ERR3404708/ERR3404708_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/008/ERR3404708/ERR3404708_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404708/18403#23.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404708/18403#23.bam.bai		
PRJEB32631	ERP115334	SAMEA5616653	ERS3420835	ERX3428366	ERR3404714	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3404714/ERR3404714_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3404714/ERR3404714_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404714/19646_4#6.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404714/19646_4#6.bam.bai		
PRJEB32631	ERP115334	SAMEA5616655	ERS3420837	ERX3428368	ERR3404716	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3404716/ERR3404716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3404716/ERR3404716_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404716/19646_4#8.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404716/19646_4#8.bam.bai		
PRJEB32631	ERP115334	SAMEA5618310	ERS3422398	ERX3428373	ERR3404721	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/001/ERR3404721/ERR3404721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/001/ERR3404721/ERR3404721_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404721/19646_4#13.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404721/19646_4#13.bam.bai		
PRJEB32631	ERP115334	SAMEA5618312	ERS3422400	ERX3428375	ERR3404723	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3404723/ERR3404723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3404723/ERR3404723_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404723/19646_4#15.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404723/19646_4#15.bam.bai		
PRJEB32631	ERP115334	SAMEA5618317	ERS3422405	ERX3428380	ERR3404728	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/008/ERR3404728/ERR3404728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/008/ERR3404728/ERR3404728_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404728/19646_4#20.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404728/19646_4#20.bam.bai		
PRJEB32631	ERP115334	SAMEA5618321	ERS3422409	ERX3428383	ERR3404731	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/001/ERR3404731/ERR3404731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/001/ERR3404731/ERR3404731_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404731/19646_4#23.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404731/19646_4#23.bam.bai		
PRJEB32631	ERP115334	SAMEA5616611	ERS3420793	ERX3428385	ERR3404733	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3404733/ERR3404733_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3404733/ERR3404733_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404733/19646_5#1.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404733/19646_5#1.bam.bai		
PRJEB32631	ERP115334	SAMEA5616626	ERS3420808	ERX3428390	ERR3404738	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/008/ERR3404738/ERR3404738_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/008/ERR3404738/ERR3404738_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404738/19646_5#6.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404738/19646_5#6.bam.bai		
PRJEB32631	ERP115334	SAMEA5616634	ERS3420816	ERX3428398	ERR3404746	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3404746/ERR3404746_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3404746/ERR3404746_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404746/19646_5#14.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404746/19646_5#14.bam.bai		
PRJEB32631	ERP115334	SAMEA5616637	ERS3420819	ERX3428401	ERR3404749	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3404749/ERR3404749_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3404749/ERR3404749_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404749/19646_5#17.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404749/19646_5#17.bam.bai		
PRJEB32631	ERP115334	SAMEA5616644	ERS3420826	ERX3428405	ERR3404753	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3404753/ERR3404753_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3404753/ERR3404753_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404753/19646_5#21.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404753/19646_5#21.bam.bai		
PRJEB32631	ERP115334	SAMEA5616645	ERS3420827	ERX3428406	ERR3404754	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3404754/ERR3404754_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3404754/ERR3404754_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404754/19646_5#22.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404754/19646_5#22.bam.bai		
PRJEB32631	ERP115334	SAMEA5616642	ERS3420824	ERX3428410	ERR3404758	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/008/ERR3404758/ERR3404758_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/008/ERR3404758/ERR3404758_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404758/20596_4#2.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404758/20596_4#2.bam.bai		
PRJEB32631	ERP115334	SAMEA5616997	ERS3421179	ERX3428413	ERR3404761	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/001/ERR3404761/ERR3404761_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/001/ERR3404761/ERR3404761_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404761/20596_4#5.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404761/20596_4#5.bam.bai		
PRJEB32631	ERP115334	SAMEA5616998	ERS3421180	ERX3428414	ERR3404762	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3404762/ERR3404762_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3404762/ERR3404762_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404762/20596_4#6.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404762/20596_4#6.bam.bai		
PRJEB32631	ERP115334	SAMEA5617000	ERS3421182	ERX3428416	ERR3404764	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3404764/ERR3404764_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3404764/ERR3404764_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404764/20596_4#8.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404764/20596_4#8.bam.bai		
PRJEB32631	ERP115334	SAMEA5617005	ERS3421187	ERX3428418	ERR3404766	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3404766/ERR3404766_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3404766/ERR3404766_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404766/20596_4#10.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404766/20596_4#10.bam.bai		
PRJEB32631	ERP115334	SAMEA5617518	ERS3421607	ERX3428422	ERR3404770	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/000/ERR3404770/ERR3404770_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/000/ERR3404770/ERR3404770_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404770/20596_4#14.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404770/20596_4#14.bam.bai		
PRJEB32631	ERP115334	SAMEA5617521	ERS3421610	ERX3428425	ERR3404773	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3404773/ERR3404773_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3404773/ERR3404773_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404773/20596_4#17.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404773/20596_4#17.bam.bai		
PRJEB32631	ERP115334	SAMEA5617527	ERS3421616	ERX3428431	ERR3404779	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3404779/ERR3404779_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3404779/ERR3404779_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404779/20596_4#23.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404779/20596_4#23.bam.bai		
PRJEB32631	ERP115334	SAMEA5616658	ERS3420840	ERX3428432	ERR3404780	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/000/ERR3404780/ERR3404780_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/000/ERR3404780/ERR3404780_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404780/20596_4#24.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404780/20596_4#24.bam.bai		
PRJEB32631	ERP115334	SAMEA5616661	ERS3420843	ERX3428435	ERR3404783	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3404783/ERR3404783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3404783/ERR3404783_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404783/20596_5#3.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404783/20596_5#3.bam.bai		
PRJEB32631	ERP115334	SAMEA5617529	ERS3421618	ERX3428438	ERR3404786	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3404786/ERR3404786_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3404786/ERR3404786_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404786/20596_5#6.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404786/20596_5#6.bam.bai		
PRJEB32631	ERP115334	SAMEA5617536	ERS3421625	ERX3428450	ERR3404798	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/008/ERR3404798/ERR3404798_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/008/ERR3404798/ERR3404798_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404798/20596_5#18.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404798/20596_5#18.bam.bai		
PRJEB32631	ERP115334	SAMEA5617537	ERS3421626	ERX3428451	ERR3404799	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3404799/ERR3404799_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3404799/ERR3404799_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404799/20596_5#19.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404799/20596_5#19.bam.bai		
PRJEB32631	ERP115334	SAMEA5616638	ERS3420820	ERX3428455	ERR3404803	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3404803/ERR3404803_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3404803/ERR3404803_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404803/20596_5#23.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404803/20596_5#23.bam.bai		
PRJEB32631	ERP115334	SAMEA5617003	ERS3421185	ERX3428458	ERR3404806	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3404806/ERR3404806_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3404806/ERR3404806_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404806/20727_3#2.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3404806/20727_3#2.bam.bai		
