"","asv","homd"
"53","ASV53","Prevotella nanceiensis"
"54","ASV54","Veillonella rogosae"
"55","ASV55","Rothia mucilaginosa"
"56","ASV56","Megasphaera micronuciformis"
"57","ASV57","Schaalia sp. HMT 172"
"58","ASV58","Prevotella oris"
"59","ASV59","Capnocytophaga gingivalis"
"60","ASV60","Streptococcus mutans"
"61","ASV61","Cardiobacterium hominis"
"62","ASV62","Lautropia mirabilis"
"63","ASV63","Corynebacterium durum"
"64","ASV64","Prevotella salivae"
"65","ASV65","Streptococcus intermedius"
"66","ASV66","Leptotrichia buccalis"
"67","ASV67","Prevotella pallens"
"68","ASV68","Leptotrichia wadei"
"69","ASV69","Porphyromonas catoniae"
"70","ASV70","Dialister invisus"
"71","ASV71","Actinomyces gerencseriae"
"72","ASV72","Selenomonas noxia"
"73","ASV73","Neisseria oralis"
"74","ASV74","Prevotella sp. HMT 317"
"75","ASV75","Actinomyces massiliensis"
"76","ASV76","Leptotrichia sp. HMT 212"
"77","ASV77","Prevotella sp. HMT 306"
"78","ASV78","Prevotella pallens"
"79","ASV79","Fusobacterium sp. HMT 203"
"80","ASV80","Leptotrichia sp. HMT 221"
"81","ASV81","Streptococcus sobrinus"
"82","ASV82","Rothia mucilaginosa"
"83","ASV83","Streptococcus sp. HMT 074"
"84","ASV84","Leptotrichia sp. HMT 212"
"85","ASV85","Actinomyces graevenitzii"
"86","ASV86","Scardovia wiggsiae"
"87","ASV87","Peptidiphaga gingivicola"
"88","ASV88","Leptotrichia sp. HMT 215"
"89","ASV89","Prevotella veroralis"
"90","ASV90","Leptotrichia hofstadii"
"91","ASV91","Selenomonas sputigena"
"92","ASV92","Neisseria flava"
"93","ASV93","Leptotrichia sp. HMT 392"
"94","ASV94","Prevotella nanceiensis"
"95","ASV95","Selenomonas sp. HMT 478"
"96","ASV96","Selenomonas sp. HMT 138"
"97","ASV97","Neisseria oralis"
"98","ASV98","Campylobacter gracilis"
"99","ASV99","Lachnoanaerobaculum umeaense"
"100","ASV100","Abiotrophia defectiva"
"101","ASV101","Fusobacterium nucleatum subsp. vincentii"
"102","ASV102","Porphyromonas catoniae"
"103","ASV103","Rothia mucilaginosa"
"104","ASV104","Prevotella scopos"
"105","ASV105","Kingella sp. HMT 012"
"106","ASV106","Bergeyella sp. HMT 322"
"107","ASV107","Porphyromonas sp. HMT 930"
"108","ASV108","Neisseria sp. HMT 018"
"109","ASV109","Porphyromonas catoniae"
"110","ASV110","Campylobacter gracilis"
"111","ASV111","Haemophilus parainfluenzae"
"112","ASV112","Atopobium parvulum"
"113","ASV113","Alloprevotella sp. HMT 914"
"114","ASV114","Schaalia sp. HMT 877"
"115","ASV115","Campylobacter concisus"
"116","ASV116","Lachnoanaerobaculum orale"
"117","ASV117","Fusobacterium hwasookii"
"118","ASV118","Tannerella sp. HMT 808"
"119","ASV119","Neisseria cinerea"
"120","ASV120","Peptostreptococcus stomatis"
"121","ASV121","Ottowia sp. HMT 894"
"122","ASV122","Prevotella scopos"
"123","ASV123","Fusobacterium nucleatum subsp. nucleatum"
"124","ASV124","Leptotrichia shahii"
"125","ASV125","Veillonella sp. HMT 917"
"126","ASV126","Fusobacterium nucleatum subsp. animalis"
"127","ASV127","Leptotrichia sp. HMT 218"
"128","ASV128","Prevotella sp. HMT 300"
"129","ASV129","Prevotella oris"
"130","ASV130","Neisseria bacilliformis"
"131","ASV131","Fusobacterium nucleatum subsp. animalis"
"132","ASV132","Aggregatibacter sp. HMT 513"
"133","ASV133","Selenomonas artemidis"
"134","ASV134","Leptotrichia sp. HMT 219"
"135","ASV135","Prevotella sp. HMT 292"
"136","ASV136","Solobacterium moorei"
"137","ASV137","Prevotella oulorum"
"138","ASV138","Prevotella oulorum"
"139","ASV139","Ruminococcaceae [G-1] bacterium HMT 075"
"140","ASV140","Prevotella maculosa"
"141","ASV141","Leptotrichia sp. HMT 221"
"142","ASV142","Alloprevotella rava"
"143","ASV143","Veillonella parvula"
"144","ASV144","Campylobacter rectus"
"145","ASV145","Oribacterium sinus"
"146","ASV146","Leptotrichia sp. HMT 217"
"147","ASV147","Capnocytophaga leadbetteri"
"148","ASV148","Neisseria flava"
"149","ASV149","Capnocytophaga sputigena"
"150","ASV150","Prevotella loescheii"
"151","ASV151","Leptotrichia sp. HMT 215"
"152","ASV152","Porphyromonas sp. HMT 930"
"153","ASV153","Fusobacterium nucleatum subsp. vincentii"
"154","ASV154","Oribacterium sp. HMT 078"
"155","ASV155","Stomatobaculum sp. HMT 097"
"156","ASV156","Stomatobaculum longum"
"157","ASV157","Capnocytophaga sp. HMT 332"
"158","ASV158","Leptotrichia sp. HMT 225"
"159","ASV159","Neisseria cinerea"
"160","ASV160","Treponema socranskii"
"161","ASV161","Capnocytophaga sp. HMT 326"
"162","ASV162","Veillonella rogosae"
"163","ASV163","Haemophilus pittmaniae"
"164","ASV164","Mitsuokella sp. HMT 521"
"165","ASV165","Leptotrichia sp. HMT 223"
"166","ASV166","Streptococcus salivarius"
"167","ASV167","Leptotrichia sp. HMT 215"
"168","ASV168","Leptotrichia sp. HMT 417"
"169","ASV169","Schaalia lingnae [Not Validly Published]"
"170","ASV170","Campylobacter concisus"
"171","ASV171","Capnocytophaga sputigena"
"172","ASV172","Alloprevotella tannerae"
"173","ASV173","Fusobacterium nucleatum subsp. vincentii"
"174","ASV174","Veillonellaceae [G-1] bacterium HMT 155"
"175","ASV175","Prevotella oris"
"176","ASV176","Leptotrichia goodfellowii"
"177","ASV177","Prevotella aurantiaca"
"178","ASV178","Haemophilus paraphrohaemolyticus"
"179","ASV179","Streptococcus oralis subsp. dentisani clade 058"
"180","ASV180","Lachnoanaerobaculum saburreum"
"181","ASV181","Lachnospiraceae [G-2] bacterium HMT 096"
"182","ASV182","Atopobium parvulum"
"183","ASV183","Kingella sp. HMT 012"
"184","ASV184","Selenomonas dianae"
"185","ASV185","Centipeda periodontii"
"186","ASV186","Lachnoanaerobaculum saburreum"
"187","ASV187","Prevotella scopos"
"188","ASV188","Cardiobacterium valvarum"
"189","ASV189","Leptotrichia hongkongensis"
"190","ASV190","Capnocytophaga sp. HMT 323"
"191","ASV191","Prevotella oulorum"
"192","ASV192","Lautropia mirabilis"
"193","ASV193","Selenomonas sp. HMT 134"
"194","ASV194","Haemophilus parainfluenzae"
"195","ASV195","Fusobacterium nucleatum subsp. animalis"
"196","ASV196","Kingella sp. HMT 012"
"197","ASV197","Porphyromonas endodontalis"
"198","ASV198","Treponema socranskii"
"199","ASV199","Streptococcus oralis subsp. dentisani clade 058"
"200","ASV200","Leptotrichia sp. HMT 392"
"201","ASV201","Prevotella intermedia"
"202","ASV202","Aggregatibacter sp. HMT 513"
"203","ASV203","Peptostreptococcaceae [XI][G-1] [Eubacterium] sulci"
"204","ASV204","Actinomyces sp. HMT 525"
"205","ASV205","Prevotella oris"
"206","ASV206","Haemophilus parainfluenzae"
"207","ASV207","Fusobacterium sp. HMT 248"
"208","ASV208","Fusobacterium periodonticum"
"209","ASV209","Parvimonas micra"
"210","ASV210","Eikenella corrodens"
"211","ASV211","Alloprevotella sp. HMT 473"
"212","ASV212","Neisseria flava"
"213","ASV213","Alloprevotella tannerae"
"214","ASV214","Prevotella intermedia"
"215","ASV215","Capnocytophaga sp. HMT 324"
"216","ASV216","Selenomonas sp. HMT 138"
"217","ASV217","Prevotella oris"
"218","ASV218","Capnocytophaga sp. HMT 338"
"219","ASV219","Olsenella sp. HMT 807"
"220","ASV220","Leptotrichia hofstadii"
"221","ASV221","Alloprevotella tannerae"
"222","ASV222","Actinomyces dentalis"
"223","ASV223","Ruminococcaceae [G-2] bacterium HMT 085"
"224","ASV224","Prevotella scopos"
"225","ASV225","Bacillus subtilis"
"226","ASV226","Haemophilus parainfluenzae"
"227","ASV227","Leptotrichia sp. HMT 879"
"228","ASV228","Selenomonas flueggei"
"229","ASV229","Capnocytophaga sp. HMT 335"
"230","ASV230","Atopobium rimae"
"231","ASV231","Prevotella veroralis"
"232","ASV232","Absconditabacteria (SR1) [G-1] bacterium HMT 874"
"233","ASV233","Leptotrichia sp. HMT 212"
"234","ASV234","Streptococcus oralis subsp. dentisani clade 058"
"235","ASV235","Prevotella oris"
"236","ASV236","Schaalia lingnae [Not Validly Published]"
"237","ASV237","Alloprevotella tannerae"
"238","ASV238","Capnocytophaga granulosa"
"239","ASV239","Leptotrichia buccalis"
"240","ASV240","Tannerella sp. HMT 808"
"241","ASV241","Capnocytophaga sputigena"
"242","ASV242","Selenomonas flueggei"
"243","ASV243","Prevotella sp. HMT 472"
"244","ASV244","Porphyromonas catoniae"
"245","ASV245","Prevotella sp. HMT 317"
"246","ASV246","Prevotella pleuritidis"
"247","ASV247","Oribacterium asaccharolyticum"
"248","ASV248","Haemophilus sp. HMT 036"
"249","ASV249","Fusobacterium nucleatum subsp. animalis"
"250","ASV250","Fusobacterium sp. HMT 203"
"251","ASV251","Prevotella micans"
"252","ASV252","Leptotrichia sp. HMT 463"
"253","ASV253","Campylobacter rectus"
"254","ASV254","Veillonellaceae [G-1] bacterium HMT 150"
"255","ASV255","Bacteroidales [G-2] bacterium HMT 274"
"256","ASV256","Oribacterium parvum"
"257","ASV257","Capnocytophaga sp. HMT 863"
"258","ASV258","Capnocytophaga leadbetteri"
"259","ASV259","Kingella sp. HMT 012"
"260","ASV260","Cardiobacterium valvarum"
"261","ASV261","Prevotella oulorum"
"262","ASV262","Neisseria flava"
"263","ASV263","Treponema sp. HMT 231"
"264","ASV264","Veillonella denticariosi"
"265","ASV265","Leptotrichia sp. HMT 392"
"266","ASV266","Selenomonas sp. HMT 138"
"267","ASV267","Streptococcus anginosus"
"268","ASV268","Fusobacterium periodonticum"
"269","ASV269","Prevotella oris"
"270","ASV270","Prevotella sp. HMT 396"
"271","ASV271","Bergeyella sp. HMT 206"
"272","ASV272","Prevotella pallens"
"273","ASV273","Eikenella corrodens"
"274","ASV274","Streptococcus oralis subsp. dentisani clade 058"
"275","ASV275","Neisseria weaveri"
"276","ASV276","Peptostreptococcaceae [XI][G-9] [Eubacterium] brachy"
"277","ASV277","Alloprevotella rava"
"278","ASV278","Catonella morbi"
"279","ASV279","Streptococcus oralis subsp. dentisani clade 058"
"280","ASV280","Neisseria sp. HMT 020"
"281","ASV281","Prevotella salivae"
"282","ASV282","Leptotrichia sp. HMT 218"
"283","ASV283","Cardiobacterium hominis"
"284","ASV284","Moraxella sp. HMT 276"
"285","ASV285","Prevotella melaninogenica"
"286","ASV286","Prevotella veroralis"
"287","ASV287","Peptostreptococcaceae [XI][G-7] [Eubacterium] yurii subsp. schtitka"
"288","ASV288","Leptotrichia sp. HMT 498"
"289","ASV289","Parvimonas micra"
"290","ASV290","Prevotella sp. HMT 309"
"291","ASV291","Haemophilus parainfluenzae"
"292","ASV292","Neisseria cinerea"
"293","ASV293","Parvimonas sp. HMT 110"
"294","ASV294","Haemophilus sp. HMT 036"
"295","ASV295","Capnocytophaga sp. HMT 903"
"296","ASV296","Treponema denticola"
"297","ASV297","Leptotrichia hongkongensis"
"298","ASV298","Catonella morbi"
"299","ASV299","Neisseria oralis"
"300","ASV300","Haemophilus parainfluenzae"
"301","ASV301","Kingella sp. HMT 012"
"302","ASV302","Prevotella maculosa"
"303","ASV303","Cardiobacterium hominis"
"304","ASV304","Lachnospiraceae [G-3] bacterium HMT 100"
"305","ASV305","Prevotella sp. HMT 305"
"306","ASV306","Haemophilus parainfluenzae"
"307","ASV307","Alloprevotella sp. HMT 913"
"308","ASV308","Stomatobaculum sp. HMT 910"
"309","ASV309","Neisseria flava"
"310","ASV310","Lachnospiraceae [G-3] bacterium HMT 100"
"311","ASV311","Schaalia meyeri"
"312","ASV312","Absconditabacteria (SR1) [G-1] bacterium HMT 875"
"313","ASV313","Streptococcus oralis subsp. dentisani clade 058"
"314","ASV314","Prevotella salivae"
"315","ASV315","Actinomyces israelii"
"316","ASV316","Veillonella dispar"
"317","ASV317","Prevotella sp. HMT 309"
"318","ASV318","Leptotrichia sp. HMT 225"
"319","ASV319","Prevotella saccharolytica"
"320","ASV320","Veillonella dispar"
"321","ASV321","Absconditabacteria (SR1) [G-1] bacterium HMT 345"
"322","ASV322","Prevotella sp. HMT 309"
"323","ASV323","Moraxella sp. HMT 276"
"324","ASV324","Selenomonas dianae"
"325","ASV325","Kingella sp. HMT 012"
"326","ASV326","Atopobium sp. HMT 199"
"327","ASV327","Fretibacterium fastidiosum"
"328","ASV328","Neisseria cinerea"
"329","ASV329","Leptotrichia sp. HMT 417"
"330","ASV330","Fusobacterium hwasookii"
"331","ASV331","Lachnoanaerobaculum saburreum"
"332","ASV332","Veillonella dispar"
"333","ASV333","Leptotrichia sp. HMT 212"
"334","ASV334","Neisseria cinerea"
"335","ASV335","Aggregatibacter sp. HMT 949"
"336","ASV336","Treponema lecithinolyticum"
"337","ASV337","Prevotella pleuritidis"
"338","ASV338","Cardiobacterium valvarum"
"339","ASV339","Prevotella shahii"
"340","ASV340","Neisseria elongata"
"341","ASV341","Mogibacterium vescum"
"342","ASV342","Leptotrichia sp. HMT 847"
"343","ASV343","Neisseria flava"
"344","ASV344","Bacteroidetes [G-5] bacterium HMT 511"
"345","ASV345","Leptotrichia shahii"
"346","ASV346","Peptococcus sp. HMT 168"
"347","ASV347","Prevotella denticola"
"348","ASV348","Leptotrichia hongkongensis"
"349","ASV349","Prevotella salivae"
"350","ASV350","Prevotella loescheii"
"351","ASV351","Bifidobacterium longum"
"352","ASV352","Capnocytophaga sputigena"
"353","ASV353","Peptostreptococcaceae [XI][G-1] [Eubacterium] infirmum"
"354","ASV354","Cardiobacterium hominis"
"355","ASV355","Anaeroglobus geminatus"
"356","ASV356","Prevotella intermedia"
"357","ASV357","Treponema socranskii"
"358","ASV358","Fusobacterium nucleatum subsp. vincentii"
"359","ASV359","Lactobacillus oris"
"360","ASV360","Streptococcus anginosus"
"361","ASV361","Kingella oralis"
"362","ASV362","Alloprevotella sp. HMT 912"
"363","ASV363","Sneathia sanguinegens"
"364","ASV364","Prevotella maculosa"
"365","ASV365","Gracilibacteria (GN02) [G-1] bacterium HMT 872"
"366","ASV366","Selenomonas dianae"
"367","ASV367","Neisseria flava"
"368","ASV368","Alloprevotella tannerae"
"369","ASV369","Capnocytophaga sp. HMT 338"
"370","ASV370","Leptotrichia sp. HMT 909"
"371","ASV371","Capnocytophaga haemolytica"
"372","ASV372","Capnocytophaga leadbetteri"
"373","ASV373","Kingella oralis"
"374","ASV374","Leptotrichia sp. HMT 392"
"375","ASV375","Neisseria cinerea"
"376","ASV376","Bergeyella sp. HMT 907"
"377","ASV377","Leptotrichia sp. HMT 223"
"378","ASV378","Tannerella sp. HMT 808"
"379","ASV379","Neisseria cinerea"
"380","ASV380","Streptococcus oralis subsp. dentisani clade 058"
"381","ASV381","Fusobacterium nucleatum subsp. animalis"
"382","ASV382","Veillonella denticariosi"
"383","ASV383","Fretibacterium sp. HMT 360"
"384","ASV384","Prevotella oris"
"385","ASV385","Prevotella oris"
"386","ASV386","Pseudomonas pseudoalcaligenes"
"387","ASV387","Stomatobaculum sp. HMT 910"
"388","ASV388","Aggregatibacter sp. HMT 512"
"389","ASV389","Neisseria elongata"
"390","ASV390","Johnsonella ignava"
"391","ASV391","Leptotrichia sp. HMT 212"
"392","ASV392","Centipeda periodontii"
"393","ASV393","Leptotrichia buccalis"
"394","ASV394","Treponema sp. HMT 237"
"395","ASV395","Escherichia coli"
"396","ASV396","Neisseria sp. HMT 018"
"397","ASV397","Aggregatibacter paraphrophilus"
"398","ASV398","Haemophilus pittmaniae"
"399","ASV399","Prevotella aurantiaca"
"400","ASV400","Actinomyces sp. HMT 175"
"401","ASV401","Capnocytophaga gingivalis"
"402","ASV402","Leptotrichia hofstadii"
"403","ASV403","Leptotrichia buccalis"
"404","ASV404","Prevotella sp. HMT 313"
"405","ASV405","Capnocytophaga gingivalis"
"406","ASV406","Fretibacterium sp. HMT 361"
"407","ASV407","Neisseria flava"
"408","ASV408","Prevotella scopos"
"409","ASV409","Dialister pneumosintes"
"410","ASV410","Prevotella buccae"
"411","ASV411","Neisseria cinerea"
"412","ASV412","Veillonella dispar"
"413","ASV413","Neisseria elongata"
"414","ASV414","Prevotella sp. HMT 475"
"415","ASV415","Leptotrichia buccalis"
"416","ASV416","Prevotella sp. HMT 942"
"417","ASV417","Actinomyces sp. HMT 896"
"418","ASV418","Bergeyella sp. HMT 900"
"419","ASV419","Capnocytophaga sp. HMT 864"
"420","ASV420","Lachnospiraceae [G-3] bacterium HMT 100"
"421","ASV421","Alloprevotella tannerae"
"422","ASV422","Eikenella corrodens"
"423","ASV423","Leptotrichia wadei"
"424","ASV424","Fusobacterium hwasookii"
"425","ASV425","Bergeyella sp. HMT 322"
"426","ASV426","Prevotella saccharolytica"
"427","ASV427","Pseudomonas pseudoalcaligenes"
"428","ASV428","Fusobacterium nucleatum subsp. animalis"
"429","ASV429","Kingella oralis"
"430","ASV430","Haemophilus parainfluenzae"
"431","ASV431","Tannerella sp. HMT 808"
"432","ASV432","Streptococcus salivarius"
"433","ASV433","Leptotrichia wadei"
"434","ASV434","Fusobacterium periodonticum"
"435","ASV435","Leptotrichia sp. HMT 392"
"436","ASV436","Capnocytophaga haemolytica"
"437","ASV437","Selenomonas artemidis"
"438","ASV438","Neisseria cinerea"
"439","ASV439","Prevotella pallens"
"440","ASV440","Leptotrichia sp. HMT 879"
"441","ASV441","Rothia mucilaginosa"
"442","ASV442","Prevotella sp. HMT 300"
"443","ASV443","Haemophilus parainfluenzae"
"444","ASV444","Gracilibacteria (GN02) [G-1] bacterium HMT 871"
"445","ASV445","Aggregatibacter paraphrophilus"
"446","ASV446","Prevotella oris"
"447","ASV447","Neisseria sp. HMT 523"
"448","ASV448","Butyrivibrio sp. HMT 455"
"449","ASV449","Bifidobacterium dentium"
"450","ASV450","Veillonella dispar"
"451","ASV451","Streptococcus constellatus"
"452","ASV452","Prevotella nanceiensis"
"453","ASV453","Alloprevotella tannerae"
"454","ASV454","Peptostreptococcaceae [XI][G-7] [Eubacterium] yurii subsp. schtitka"
"455","ASV455","Campylobacter rectus"
"456","ASV456","Neisseria elongata"
"457","ASV457","Fusobacterium periodonticum"
"458","ASV458","Leptotrichia sp. HMT 218"
"459","ASV459","Prevotella maculosa"
"460","ASV460","Bergeyella sp. HMT 322"
"461","ASV461","Leptotrichia sp. HMT 215"
"462","ASV462","Neisseria flava"
"463","ASV463","Haemophilus parainfluenzae"
"464","ASV464","Capnocytophaga sp. HMT 335"
"465","ASV465","Leptotrichia sp. HMT 498"
"466","ASV466","Capnocytophaga haemolytica"
"467","ASV467","Lautropia mirabilis"
"468","ASV468","Stomatobaculum longum"
"469","ASV469","Leptotrichia sp. HMT 392"
"470","ASV470","Capnocytophaga sp. HMT 332"
"471","ASV471","Kingella sp. HMT 012"
"472","ASV472","Leptotrichia hofstadii"
"473","ASV473","Lachnoanaerobaculum orale"
"474","ASV474","Campylobacter rectus"
"475","ASV475","Atopobium sp. HMT 199"
"476","ASV476","Prevotella sp. HMT 313"
"477","ASV477","Fusobacterium nucleatum subsp. animalis"
"478","ASV478","Corynebacterium matruchotii"
"479","ASV479","Shuttleworthia satelles"
"480","ASV480","Tannerella forsythia"
"481","ASV481","Filifactor alocis"
"482","ASV482","Alloprevotella tannerae"
"483","ASV483","Fusobacterium sp. HMT 203"
"484","ASV484","Aggregatibacter paraphrophilus"
"485","ASV485","Fusobacterium sp. HMT 203"
"486","ASV486","Leptotrichia wadei"
"487","ASV487","Streptococcus salivarius"
"488","ASV488","Kingella oralis"
"489","ASV489","Leptotrichia sp. HMT 215"
"490","ASV490","Pseudomonas fluorescens"
"491","ASV491","Gemella sanguinis"
"492","ASV492","Haemophilus parainfluenzae"
"493","ASV493","Alloprevotella sp. HMT 473"
"494","ASV494","Veillonella dispar"
"495","ASV495","Capnocytophaga leadbetteri"
"496","ASV496","Alloprevotella rava"
"497","ASV497","Kingella oralis"
"498","ASV498","Saccharibacteria (TM7) [G-1] bacterium HMT 352"
"499","ASV499","Lactobacillus gasseri"
"500","ASV500","Prevotella oris"
"501","ASV501","Eikenella corrodens"
"502","ASV502","Leptotrichia hongkongensis"
"503","ASV503","Treponema maltophilum"
"504","ASV504","Eikenella corrodens"
"505","ASV505","Campylobacter rectus"
"506","ASV506","Prevotella sp. HMT 301"
"507","ASV507","Capnocytophaga granulosa"
"508","ASV508","Alloprevotella sp. HMT 473"
"509","ASV509","Dialister invisus"
"510","ASV510","Peptidiphaga gingivicola"
"511","ASV511","Campylobacter gracilis"
"512","ASV512","Actinomyces sp. HMT 175"
"513","ASV513","Peptostreptococcaceae [XI][G-7] [Eubacterium] yurii subsp. schtitka"
"514","ASV514","Fusobacterium nucleatum subsp. animalis"
"515","ASV515","Alloprevotella sp. HMT 473"
"516","ASV516","Stomatobaculum sp. HMT 910"
"517","ASV517","Fusobacterium nucleatum subsp. vincentii"
"518","ASV518","Prevotella melaninogenica"
"519","ASV519","Prevotella marshii"
"520","ASV520","Kingella oralis"
"521","ASV521","Streptococcus pneumoniae"
"522","ASV522","Alloprevotella sp. HMT 914"
"523","ASV523","Aggregatibacter sp. HMT 512"
"524","ASV524","Bergeyella sp. HMT 931"
"525","ASV525","Fusobacterium nucleatum subsp. animalis"
"526","ASV526","Haemophilus parainfluenzae"
"527","ASV527","Actinomyces sp. HMT 897"
"528","ASV528","Haemophilus parainfluenzae"
"529","ASV529","Leptotrichia wadei"
"530","ASV530","Parvimonas micra"
"531","ASV531","Capnocytophaga sp. HMT 323"
"532","ASV532","Prevotella sp. HMT 305"
"533","ASV533","Fusobacterium nucleatum subsp. animalis"
"534","ASV534","Treponema sp. HMT 237"
"535","ASV535","Treponema sp. HMT 237"
"536","ASV536","Veillonella parvula"
"537","ASV537","Prevotella pleuritidis"
"538","ASV538","Capnocytophaga sp. HMT 323"
"539","ASV539","Aggregatibacter sp. HMT 512"
"540","ASV540","Leptotrichia hongkongensis"
"541","ASV541","Prevotella sp. HMT 315"
"542","ASV542","Leptotrichia wadei"
"543","ASV543","Porphyromonas gingivalis"
"544","ASV544","Selenomonas sputigena"
"545","ASV545","Ottowia sp. HMT 894"
"546","ASV546","Capnocytophaga granulosa"
"547","ASV547","Cardiobacterium valvarum"
"548","ASV548","Capnocytophaga sputigena"
"549","ASV549","Prevotella sp. HMT 306"
"550","ASV550","Haemophilus parainfluenzae"
"551","ASV551","Prevotella nigrescens"
"552","ASV552","Prevotella sp. HMT 292"
"553","ASV553","Prevotella melaninogenica"
"554","ASV554","Actinomyces israelii"
"555","ASV555","Haemophilus sp. HMT 036"
"556","ASV556","Veillonella dispar"
"557","ASV557","Cardiobacterium valvarum"
"558","ASV558","Fusobacterium sp. HMT 203"
"559","ASV559","Prevotella nigrescens"
"560","ASV560","Neisseria flava"
"561","ASV561","Prevotella salivae"
"562","ASV562","Corynebacterium matruchotii"
"563","ASV563","Kingella oralis"
"564","ASV564","Bacteroidetes [G-3] bacterium HMT 899"
"565","ASV565","Leptotrichia sp. HMT 215"
"566","ASV566","Porphyromonas catoniae"
"567","ASV567","Prevotella maculosa"
"568","ASV568","Alloprevotella rava"
"569","ASV569","Rothia dentocariosa"
"570","ASV570","Treponema sp. HMT 257"
"571","ASV571","Neisseria flava"
"572","ASV572","Cardiobacterium valvarum"
"573","ASV573","Prevotella sp. HMT 300"
"574","ASV574","Selenomonas dianae"
"575","ASV575","Capnocytophaga sputigena"
"576","ASV576","Prevotella oris"
"577","ASV577","Fusobacterium nucleatum subsp. animalis"
"578","ASV578","Streptococcus oralis subsp. dentisani clade 058"
"579","ASV579","Acidovorax ebreus"
"580","ASV580","Rothia aeria"
"581","ASV581","Corynebacterium matruchotii"
"582","ASV582","Campylobacter sp. HMT 044"
"583","ASV583","Peptostreptococcaceae [XI][G-3] bacterium HMT 495"
"584","ASV584","Haemophilus parainfluenzae"
"585","ASV585","Leptotrichia hofstadii"
"586","ASV586","Leptotrichia sp. HMT 417"
"587","ASV587","Prevotella multiformis"
"588","ASV588","Capnocytophaga leadbetteri"
"589","ASV589","Veillonella dispar"
"590","ASV590","Treponema sp. HMT 246"
"591","ASV591","Prevotella pleuritidis"
"592","ASV592","Cryptobacterium curtum"
"593","ASV593","Tannerella sp. HMT 808"
"594","ASV594","Treponema sp. HMT 231"
"595","ASV595","Capnocytophaga sputigena"
"596","ASV596","Schaalia sp. HMT 180"
"597","ASV597","Lachnospiraceae [G-3] bacterium HMT 100"
"598","ASV598","Actinomyces graevenitzii"
"599","ASV599","Oribacterium asaccharolyticum"
"600","ASV600","Fusobacterium nucleatum subsp. animalis"
"601","ASV601","Fusobacterium nucleatum subsp. animalis"
"602","ASV602","Lactococcus lactis"
"603","ASV603","Alloprevotella rava"
"604","ASV604","Kingella oralis"
"605","ASV605","Veillonella dispar"
"606","ASV606","Schaalia sp. HMT 172"
"607","ASV607","Corynebacterium matruchotii"
"608","ASV608","Tannerella sp. HMT 808"
"609","ASV609","Aggregatibacter actinomycetemcomitans"
"610","ASV610","Saccharibacteria (TM7) [G-1] bacterium HMT 346"
"611","ASV611","Capnocytophaga leadbetteri"
"612","ASV612","Prevotella sp. HMT 300"
"613","ASV613","Prevotella buccae"
"614","ASV614","Alloprevotella tannerae"
"615","ASV615","Veillonella dispar"
"616","ASV616","Streptococcus oralis subsp. dentisani clade 058"
"617","ASV617","Gracilibacteria (GN02) [G-2] bacterium HMT 873"
"618","ASV618","Tannerella sp. HMT 808"
